ulceration,ulcering,Right
outbreak,out brake,Right
non-healing,no healing,Right
painless,pain free,Right
fever,fewer,Wrong
swelling,swollen,Right
temperature,temp.,Right
bacteria,bacterium,Right
contracted,contacted,Wrong
organ,origon,Wrong
examination,exam,Right
january,jan,Right
february ,feb,Right
march ,mar,Right
intraocular,intra ocular,Right
shortness of breath,sob,Right
shortness of breath,short of breath,Right
severity,severe,Right
paranoia,paranoid,Right
aggression,aggressive,Right
numbness,numb,Right
abrasion,abrasive,Right
relapse,re lapse,Right
gynecologist,gyne,Right
opthalmologist,eye specialist,Right
surgical,surgery,Right
examination,exam,Right
brain,brian,Wrong
controlling,control,Right
lactation,lactate,Right
excessive,excess,Right
toward,towards,Right
within ,with in ,Right
without,with out,Right
middle,mid,Right
backward,backwards,Right
bronchoscopy,bronco scopy,Right
digestive,digestion,Right
antibodies,anti body,Right
internet,intranet,Wrong
appetite,apatite,Right
between,bitween,Right
beginning,begin,Right
asphasia,asphagia,Wrong
blood pressure,bp,Right
oxygen,o2,Right
skeletal,skeleton,Right
reproductive,reproduction,Right
abdominal,abdomen,Right
gynecologist,gyne,Right
opthalmologist,eye specialist,Right
surgical,surgery,Right
examination,exam,Right
brain,brian,Wrong
controlling,control,Right
lactation,lactate,Right
excessive,excess,Right
toward,towards,Right
within ,with in ,Right
without,with out,Right
middle,mid,Right
backward,backwards,Right
bronchoscopy,bronco scopy,Right
digestive,digestion,Right
antibodies,anti body,Right
internet,intranet,Wrong
appetite,apatite,Right
between,bitween,Right
beginning,begin,Right
asphasia,asphagia,Wrong
blood pressure,bp,Right
oxygen,o2,Right
skeletal,skeleton,Right
reproductive,reproduction,Right
abdominal,abdomen,Right
